"name","image","url","blurb","focus_code"
"Neon Inferno","[img]https://i.imgur.com/LXJHRZ1.jpeg[/img]","https://store.steampowered.com/app/2957720/Neon_Inferno/","Looks great.",""
"Star Garden","[img]https://i.imgur.com/jfDkH6b.jpeg[/img]","https://store.steampowered.com/app/3370970/Star_Garden/","Standalone Chao Garden? I'm listening...",""
"Last Train Outta' Wormtown","[img]https://i.imgur.com/HKdZt9q.jpeg[/img]","https://store.steampowered.com/app/2318480/Last_Train_Outta_Wormtown/","",""
"Passant: A Chess Roguelike","[img]https://i.imgur.com/ssPXWSQ.jpeg[/img]","https://store.steampowered.com/app/3353100/Passant_A_Chess_Roguelike/","",""
"Little Goody Two Shoes","[img]https://i.imgur.com/4ThlVFc.jpeg[/img]","https://store.steampowered.com/app/1812370/Little_Goody_Two_Shoes/","Great look.",""
"Atomicrops","[img]https://i.imgur.com/nsDBljO.jpeg[/img]","https://store.steampowered.com/app/757320/Atomicrops/","",""
"ROCKBEASTS","[img]https://i.imgur.com/ePgJSnu.jpeg[/img]","https://store.steampowered.com/app/1445880/ROCKBEASTS/","",""
"Is This Seat Taken?","[img]https://i.imgur.com/J2DDsQP.jpeg[/img]","https://store.steampowered.com/app/3035120/Is_This_Seat_Taken/","",""
"Glasshouse","[img]https://i.imgur.com/YcMGw3Q.jpeg[/img]","https://store.steampowered.com/app/2244700/Glasshouse/","",""
"Bubsy 4D","[img]https://i.imgur.com/7UHSHMw.jpeg[/img]","https://store.steampowered.com/app/3237970/Bubsy_4D/","",""
"Urban Myth Dissolution Center","[img]https://i.imgur.com/sYlUfqn.jpeg[/img]","https://store.steampowered.com/app/2089600/Urban_Myth_Dissolution_Center/","",""
"PVKK: Planetenverteidigungskanonenkommandant","[img]https://i.imgur.com/mZ1xsPI.jpeg[/img]","https://store.steampowered.com/app/2956040/PVKK_Planetenverteidigungskanonenkommandant/","Looks solid.",""
"Time Takers","[img]https://i.imgur.com/qQLTUUp.jpeg[/img]","https://store.steampowered.com/app/3596040/Time_Takers/","",""
"ZERO PARADES","[img]https://i.imgur.com/MxtL9Bn.jpeg[/img]","https://store.steampowered.com/app/2863680/ZERO_PARADES/","Hell yes.",""
"Long Gone","[img]https://i.imgur.com/PLb6N4V.jpeg[/img]","https://store.steampowered.com/app/1977610/Long_Gone/","",""
"Denshattack!","[img]https://i.imgur.com/N5avYHs.jpeg[/img]","http://store.steampowered.com/app/2524850/Denshattack/","",""
"Gloomy Eyes","[img]https://i.imgur.com/3aN9xiQ.jpeg[/img]","https://store.steampowered.com/app/2667950/Gloomy_Eyes/","Very Tim Burton.",""
"Kaizen: A Factory Story","[img]https://i.imgur.com/lmz8kYT.jpeg[/img]","https://store.steampowered.com/app/2275490/Kaizen_A_Factory_Story/","",""
"Songs of the Shore","[img]https://i.imgur.com/cAZVW99.jpeg[/img]","https://store.steampowered.com/app/3440130/Songs_of_the_Shore/","",""
"In Hope Voiden","[img]https://i.imgur.com/qfSa6nE.jpeg[/img]","http://store.steampowered.com/app/3726180/In_Hope_Voiden/","Looks great.",""
"FlyKnight","[img]https://i.imgur.com/4eJDI0z.jpeg[/img]","https://store.steampowered.com/app/3108510/FlyKnight/","",""
"RACCOIN: Coin Pusher Roguelike","[img]https://i.imgur.com/endAsYR.jpeg[/img]","https://store.steampowered.com/app/3784030/RACCOIN_Coin_Pusher_Roguelike/","",""
"VISEGUNNE","[img]https://i.imgur.com/kGMenn8.jpeg[/img]","https://store.steampowered.com/app/2882040/VISEGUNNE/","",""
"A Few Quick Matches","[img]https://i.imgur.com/cofPz1I.jpeg[/img]","https://store.steampowered.com/app/3805420/A_Few_Quick_Matches/","Ooooo.",""
"Quartet","[img]https://i.imgur.com/NkQTDGS.jpeg[/img]","https://store.steampowered.com/app/1307960/Quartet/","",""
"Dungeon Clawler","[img]https://i.imgur.com/sSDSsfQ.jpeg[/img]","https://store.steampowered.com/app/2356780/Dungeon_Clawler/","Claw machine deckbuilder? Yessirrrr",""
