"name","image","url","blurb"
"@AlexStrook","https://i.imgur.com/Y42lDrv.png","https://twitter.com/AlexStrook/status/1778831995528720846","Reminded me of Jet Lancer meets Starfox."
"RollScape","https://i.imgur.com/qwADBTw.jpeg","https://store.steampowered.com/app/2904290/RollScape/","DICE."
"DemonCrawl","https://i.imgur.com/iD2EdMM.jpeg","https://store.steampowered.com/app/1141220/DemonCrawl/","Cool take on Minesweeper."
"Airframe Ultra","https://i.imgur.com/wtsJEcY.jpeg","https://store.steampowered.com/app/2522120/Airframe_Ultra/","Love the vibe."
"@andmish","https://i.imgur.com/mjTeIeS.png","https://twitter.com/andmish/status/1775493287773643002",""
"@artofsully","https://i.imgur.com/WtUSu1r.png","https://twitter.com/artofsully/status/1773427538276065721",""
"Record of Lodoss War-Deedlit in Wonder Labyrinth-","https://i.imgur.com/rAdfLji.jpeg","https://store.steampowered.com/app/1203630/Record_of_Lodoss_WarDeedlit_in_Wonder_Labyrinth/","Great pixel art."
"DRAINUS","https://i.imgur.com/2LHhvEy.jpeg","https://store.steampowered.com/app/1975360/DRAINUS/","More shoot-bang."
"Touhou: Luna Nights","https://i.imgur.com/LovHyyG.jpeg","https://store.steampowered.com/app/851100/Touhou_Luna_Nights/","Great pixel art."
"Hand of the Divine","https://i.imgur.com/teWFRoV.png","https://play.date/games/hand-of-the-divine/",""
"what the CROW?!","https://i.imgur.com/LdgF3Hx.png","https://play.date/games/what-the-crow/",""
"Mars After Midnight","https://i.imgur.com/w5V4vqy.png","https://play.date/games/mars-after-midnight/",""
"Pullfrog Playdate Deluxe","https://i.imgur.com/Kbtuy75.png","https://play.date/games/pullfrog/",""
"Under The Castle","https://i.imgur.com/WD0u7LH.png","https://play.date/games/under-the-castle/",""
"The Zachtronics Puzzle Pack","https://i.imgur.com/jwu4JOv.png","https://store.steampowered.com/bundle/2925/The_Zachtronics_Puzzle_Pack/","Too many bangers in here."
"NERTS! Online","https://i.imgur.com/edEXYp5.jpeg","https://store.steampowered.com/app/1131190/NERTS_Online/","You will feel the gears in your brain working overtime."
"Dwarf Fortress","https://i.imgur.com/Qi12tGm.jpeg","https://store.steampowered.com/app/975370/Dwarf_Fortress/","d0rf."
"Mosa Lina","https://i.imgur.com/21pNtkE.jpeg","https://store.steampowered.com/app/2477090/Mosa_Lina/","[Action.]"
"Sea of Stars","https://i.imgur.com/WahK6sQ.jpeg","https://store.steampowered.com/app/1244090/Sea_of_Stars/","Great looking RPG."
"Cobalt Core","https://i.imgur.com/ha5aSri.jpeg","https://store.steampowered.com/app/2179850/Cobalt_Core/","Cool deckbuilder."
"The Zachtronics Solitaire Collection","https://i.imgur.com/Wzp0TP5.jpeg","https://store.steampowered.com/app/1988540/The_Zachtronics_Solitaire_Collection/","*hides 150+ wins on Fortune's Foundation* I don't have a problem; you do."
"Disco Elysium","https://i.imgur.com/4slsqHB.jpeg","https://store.steampowered.com/app/632470/Disco_Elysium__The_Final_Cut/","Great storytelling."
"Balatro","https://i.imgur.com/IA4rtGc.jpeg","https://store.steampowered.com/app/2379780/Balatro/","Batman HATES this game."
"Touhou: Lost Branch of Legend","https://i.imgur.com/Drbv6Wi.jpeg","https://store.steampowered.com/app/1140150/Touhou_Lost_Branch_of_Legend/","Refined Slay the Sprire with MTG mana mechanics."
"Bomb Rush Cyberfunk","https://i.imgur.com/DyeP4d4.jpeg","https://store.steampowered.com/app/1353230/Bomb_Rush_Cyberfunk/","you better watch yo back, yo, watch your back, yo"
"Shotgun King: The Final Checkmate","https://i.imgur.com/JLBBwZh.jpeg","https://store.steampowered.com/app/1972440/Shotgun_King_The_Final_Checkmate/",""
"Void Stranger","https://i.imgur.com/6Qpcqw5.jpeg","https://store.steampowered.com/app/2121980/Void_Stranger/","Narrative-driven Sokoban was not on my bingo card."
